player_code,pen_now,pen_prev,penalties_order,declared_first,prev_taker,either
80201,0.0,0.0,,0.0,0.0,0.0
80607,0.0,1.0,,0.0,0.0,0.0
80801,0.0,0.0,,0.0,0.0,0.0
83299,0.0,0.0,,0.0,0.0,0.0
84182,0.0,0.0,,0.0,0.0,0.0
84450,0.0,0.0,,0.0,0.0,0.0
84939,0.0,0.0,,0.0,0.0,0.0
85633,0.0,0.0,,0.0,0.0,0.0
85955,0.0,0.0,,0.0,0.0,0.0
85971,0.0,2.0,,0.0,1.0,1.0
86417,0.0,0.0,,0.0,0.0,0.0
86873,0.0,0.0,,0.0,0.0,0.0
87835,0.0,0.0,,0.0,0.0,0.0
88248,0.0,0.0,,0.0,0.0,0.0
88484,0.0,0.0,,0.0,0.0,0.0
88894,0.0,0.0,,0.0,0.0,0.0
88900,0.0,0.0,,0.0,0.0,0.0
90105,0.0,0.0,,0.0,0.0,0.0
90585,0.0,0.0,,0.0,0.0,0.0
91651,0.0,0.0,,0.0,0.0,0.0
91889,0.0,0.0,,0.0,0.0,0.0
93100,0.0,0.0,,0.0,0.0,0.0
94147,0.0,0.0,,0.0,0.0,0.0
95463,0.0,0.0,,0.0,0.0,0.0
95658,0.0,0.0,,0.0,0.0,0.0
96994,0.0,0.0,,0.0,0.0,0.0
97032,0.0,0.0,,0.0,0.0,0.0
97299,0.0,0.0,,0.0,0.0,0.0
98747,0.0,0.0,,0.0,0.0,0.0
98980,0.0,0.0,,0.0,0.0,0.0
101148,0.0,0.0,,0.0,0.0,0.0
101178,0.0,0.0,,0.0,0.0,0.0
101188,0.0,0.0,,0.0,0.0,0.0
101668,0.0,2.0,,0.0,1.0,1.0
101982,0.0,0.0,,0.0,0.0,0.0
102057,4.0,3.0,1.0,1.0,1.0,1.0
103914,0.0,0.0,,0.0,0.0,0.0
103955,0.0,0.0,,0.0,0.0,0.0
105717,0.0,0.0,,0.0,0.0,0.0
106468,0.0,0.0,,0.0,0.0,0.0
106606,0.0,0.0,,0.0,0.0,0.0
106611,0.0,0.0,,0.0,0.0,0.0
106760,0.0,0.0,,0.0,0.0,0.0
107265,0.0,0.0,,0.0,0.0,0.0
108053,0.0,0.0,,0.0,0.0,0.0
108413,0.0,0.0,,0.0,0.0,0.0
108813,0.0,0.0,,0.0,0.0,0.0
109345,0.0,0.0,,0.0,0.0,0.0
109533,0.0,0.0,,0.0,0.0,0.0
109646,0.0,0.0,,0.0,0.0,0.0
109745,0.0,0.0,,0.0,0.0,0.0
110504,0.0,0.0,,0.0,0.0,0.0
110735,0.0,0.0,,0.0,0.0,0.0
111234,0.0,0.0,,0.0,0.0,0.0
111317,0.0,0.0,,0.0,0.0,0.0
111478,0.0,0.0,,0.0,0.0,0.0
111773,0.0,0.0,,0.0,0.0,0.0
111782,0.0,0.0,,0.0,0.0,0.0
111931,0.0,0.0,,0.0,0.0,0.0
112520,0.0,0.0,,0.0,0.0,0.0
113564,0.0,0.0,,0.0,0.0,0.0
114241,0.0,0.0,,0.0,0.0,0.0
114243,0.0,0.0,,0.0,0.0,0.0
114283,0.0,0.0,,0.0,0.0,0.0
115556,0.0,0.0,,0.0,0.0,0.0
116216,0.0,0.0,4.0,0.0,0.0,0.0
116535,0.0,0.0,,0.0,0.0,0.0
118342,0.0,0.0,,0.0,0.0,0.0
118748,1.0,9.0,1.0,1.0,1.0,1.0
119471,0.0,0.0,,0.0,0.0,0.0
121160,0.0,0.0,,0.0,0.0,0.0
121599,0.0,0.0,,0.0,0.0,0.0
121709,0.0,0.0,,0.0,0.0,0.0
122074,0.0,0.0,,0.0,0.0,0.0
122411,0.0,0.0,,0.0,0.0,0.0
122798,0.0,0.0,,0.0,0.0,0.0
122806,0.0,0.0,,0.0,0.0,0.0
124165,0.0,0.0,,0.0,0.0,0.0
126184,0.0,0.0,,0.0,0.0,0.0
128295,0.0,0.0,,0.0,0.0,0.0
135720,0.0,0.0,,0.0,0.0,0.0
138001,0.0,0.0,,0.0,0.0,0.0
141746,6.0,3.0,1.0,1.0,1.0,1.0
147611,0.0,0.0,,0.0,0.0,0.0
149065,0.0,0.0,,0.0,0.0,0.0
149484,0.0,0.0,,0.0,0.0,0.0
149519,0.0,0.0,,0.0,0.0,0.0
149929,0.0,0.0,,0.0,0.0,0.0
151086,0.0,0.0,,0.0,0.0,0.0
152551,0.0,0.0,,0.0,0.0,0.0
153133,0.0,0.0,,0.0,0.0,0.0
153366,0.0,0.0,,0.0,0.0,0.0
153682,0.0,0.0,3.0,0.0,0.0,0.0
154048,0.0,0.0,,0.0,0.0,0.0
154296,0.0,0.0,,0.0,0.0,0.0
154561,0.0,0.0,,0.0,0.0,0.0
154566,0.0,1.0,2.0,0.0,0.0,0.0
155405,0.0,0.0,,0.0,0.0,0.0
155408,0.0,0.0,,0.0,0.0,0.0
155503,0.0,0.0,,0.0,0.0,0.0
155511,1.0,1.0,,0.0,0.0,0.0
156689,0.0,1.0,,0.0,0.0,0.0
157668,0.0,0.0,,0.0,0.0,0.0
158499,0.0,0.0,,0.0,0.0,0.0
158534,0.0,0.0,,0.0,0.0,0.0
158983,0.0,0.0,,0.0,0.0,0.0
159506,0.0,0.0,,0.0,0.0,0.0
