player_code,season,x,nx,pos,si,y,ny,pos_pred,w,player_pred,flat90,delta_vs_pos
96787,2021-22,85.0,21,MID,5,79.21739130434783,23,83.1,0.7854841596035032,84.59241990324666,90.0,1.4924199032466703
96994,2022-23,82.10714285714286,28,MID,6,72.85714285714286,14,83.1,0.829995980948208,82.27593256177285,90.0,-0.8240674382271465
97032,2016-17,89.9,20,DEF,0,90.0,25,87.5,0.7771486250823768,89.36515670019772,90.0,1.8651567001977156
97032,2017-18,90.0,25,DEF,1,90.0,37,87.5,0.8134021840999093,89.53350546024977,90.0,2.0335054602497706
97032,2018-19,90.0,37,DEF,2,90.0,38,87.5,0.8657987767774127,89.66449694194353,90.0,2.1644969419435256
97032,2021-22,90.0,34,DEF,5,90.0,31,87.5,0.855666585386568,89.63916646346642,90.0,2.139166463466424
97032,2022-23,90.0,31,DEF,6,90.0,35,87.5,0.8438794878379978,89.609698719595,90.0,2.109698719595002
97032,2023-24,90.0,35,DEF,7,90.0,37,87.5,0.8592098049585397,89.64802451239635,90.0,2.148024512396347
97032,2024-25,90.0,37,DEF,8,90.0,38,87.5,0.8657987767774127,89.66449694194353,90.0,2.1644969419435256
97299,2016-17,89.38095238095238,21,DEF,0,84.06666666666666,15,87.5,0.7854841596035032,88.97745830020659,90.0,1.4774583002065924
97299,2017-18,84.06666666666666,15,DEF,1,88.78947368421052,19,87.5,0.7234109190985335,85.0162891777617,90.0,-2.4837108222382938
97299,2018-19,88.78947368421052,19,DEF,2,90.0,11,87.5,0.7681391063467261,88.4904951634471,90.0,0.9904951634470933
97299,2019-20,90.0,11,DEF,3,90.0,21,87.5,0.6573009993574788,89.1432524983937,90.0,1.643252498393693
97299,2020-21,90.0,21,DEF,4,88.83333333333333,12,87.5,0.7854841596035032,89.46371039900876,90.0,1.963710399008761
97299,2021-22,88.83333333333333,12,DEF,5,88.6842105263158,19,87.5,0.6766242025254809,88.40216560336731,90.0,0.9021656033673082
97299,2022-23,88.6842105263158,19,DEF,6,86.72727272727273,11,87.5,0.7681391063467261,88.4096384154106,90.0,0.9096384154105976
98745,2016-17,89.11111111111111,27,DEF,0,89.5,34,87.5,0.8248026562634164,88.82884872397995,90.0,1.3288487239799451
98745,2017-18,89.5,34,DEF,1,88.8125,16,87.5,0.855666585386568,89.21133317077313,90.0,1.7113331707731305
98745,2018-19,88.8125,16,DEF,2,87.76923076923077,13,87.5,0.736136374297603,88.46617899126561,90.0,0.9661789912656076
98745,2019-20,87.76923076923077,13,DEF,3,87.56521739130434,23,87.5,0.6938846251416729,87.6868150913843,90.0,0.18681509138430386
98747,2019-20,90.0,38,GK,3,90.0,32,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
98747,2020-21,90.0,32,GK,4,90.0,36,89.9,0.8480167631939919,89.9848016763194,90.0,0.08480167631940105
98747,2021-22,90.0,36,GK,5,90.0,36,89.9,0.8625832288761219,89.98625832288762,90.0,0.08625832288761615
98747,2022-23,90.0,36,GK,6,89.66666666666667,15,89.9,0.8625832288761219,89.98625832288762,90.0,0.08625832288761615
98747,2023-24,89.66666666666667,15,GK,7,90.0,28,89.9,0.7234109190985335,89.73120411887702,90.0,-0.16879588112298904
98747,2024-25,90.0,28,GK,8,89.48148148148148,27,89.9,0.829995980948208,89.98299959809482,90.0,0.0829995980948155
98980,2020-21,90.0,38,GK,4,90.0,36,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
98980,2021-22,90.0,36,GK,5,90.0,34,89.9,0.8625832288761219,89.98625832288762,90.0,0.08625832288761615
98980,2022-23,90.0,34,GK,6,90.0,33,89.9,0.855666585386568,89.98556665853866,90.0,0.08556665853865297
98980,2023-24,90.0,33,GK,7,90.0,34,89.9,0.8519404196346568,89.98519404196347,90.0,0.08519404196346159
98980,2024-25,90.0,34,GK,8,90.0,31,89.9,0.855666585386568,89.98556665853866,90.0,0.08556665853865297
100649,2018-19,77.66666666666667,24,MID,2,76.45454545454545,11,83.1,0.8071268463216613,78.71461080165231,90.0,-4.385389198347681
101148,2017-18,89.78125,32,DEF,1,90.0,29,87.5,0.8480167631939919,89.4345382410363,90.0,1.934538241036293
101148,2018-19,90.0,29,DEF,2,89.43478260869566,23,87.5,0.8348902810601913,89.58722570265047,90.0,2.0872257026504712
101148,2019-20,89.43478260869566,23,DEF,3,89.82352941176471,17,87.5,0.8004147369923426,89.04862851287649,90.0,1.5486285128764905
101148,2020-21,89.82352941176471,17,DEF,4,89.0,22,87.5,0.747742375132532,89.23740140104323,90.0,1.737401401043229
101178,2016-17,84.5,20,MID,0,83.94117647058823,17,83.1,0.7771486250823768,84.18800807511533,90.0,1.08800807511534
101178,2017-18,83.94117647058823,17,MID,1,88.80952380952381,21,83.1,0.747742375132532,83.72898329202324,90.0,0.6289832920232499
101178,2018-19,88.80952380952381,21,MID,2,90.0,38,83.1,0.7854841596035032,87.58474051126001,90.0,4.484740511260014
101178,2019-20,90.0,38,MID,3,90.0,38,83.1,0.8688672781338241,89.09518421912338,90.0,5.995184219123388
101178,2020-21,90.0,38,MID,4,89.30555555555556,36,83.1,0.8688672781338241,89.09518421912338,90.0,5.995184219123388
101178,2021-22,89.30555555555556,36,MID,5,89.89189189189189,37,83.1,0.8625832288761219,88.45280814808126,90.0,5.352808148081266
101178,2022-23,89.89189189189189,37,MID,6,87.51515151515152,33,83.1,0.8657987767774127,88.98041169200442,90.0,5.880411692004429
101178,2023-24,87.51515151515152,33,MID,7,85.28571428571429,14,83.1,0.8519404196346568,86.86144603456877,90.0,3.7614460345687775
101178,2024-25,85.28571428571429,14,MID,8,82.41666666666667,12,83.1,0.7093958374782874,84.65053661620254,90.0,1.5505366162025496
101184,2016-17,90.0,25,DEF,0,84.5,10,87.5,0.8134021840999093,89.53350546024977,90.0,2.0335054602497706
101184,2017-18,84.5,10,DEF,1,90.0,28,87.5,0.635521733076294,85.59343480077112,90.0,-1.9065651992288792
101184,2018-19,90.0,28,DEF,2,90.0,11,87.5,0.829995980948208,89.57498995237052,90.0,2.0749899523705153
101188,2018-19,89.36363636363636,33,DEF,2,88.44117647058823,34,87.5,0.8519404196346568,89.08770714568277,90.0,1.5877071456827707
101188,2019-20,88.44117647058823,34,DEF,3,89.36666666666666,30,87.5,0.855666585386568,88.30533325683442,90.0,0.805333256834416
101188,2020-21,89.36666666666666,30,DEF,4,89.5925925925926,27,87.5,0.8395106600310144,89.06708656539122,90.0,1.5670865653912216
101188,2021-22,89.5925925925926,27,DEF,5,84.64285714285714,14,87.5,0.8248026562634164,89.22597592884753,90.0,1.7259759288475323
101188,2022-23,84.64285714285714,14,DEF,6,87.64,25,87.5,0.7093958374782874,85.47315475006204,90.0,-2.0268452499379634
101188,2023-24,87.64,25,DEF,7,83.88,25,87.5,0.8134021840999093,87.61387630577399,90.0,0.11387630577398511
101188,2024-25,83.88,25,DEF,8,83.52631578947368,19,87.5,0.8134021840999093,84.55548409355833,90.0,-2.9445159064416657
101537,2018-19,86.58823529411765,34,MID,2,76.88235294117646,17,83.1,0.855666585386568,86.08476638314255,90.0,2.9847663831425564
101582,2018-19,83.0,10,MID,2,88.26086956521739,23,83.1,0.635521733076294,83.03644782669237,90.0,-0.06355217330762741
101582,2019-20,88.26086956521739,23,MID,3,85.5,26,83.1,0.8004147369923426,87.23083605569526,90.0,4.130836055695269
101582,2020-21,85.5,26,MID,4,84.45454545454545,22,83.1,0.8192820394525251,85.06627689468607,90.0,1.9662768946860751
101668,2016-17,86.06451612903226,31,FWD,0,87.78378378378379,37,81.5,0.8438794878379978,85.35190153319603,90.0,3.8519015331960276
