season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Liverpool,Stoke,31,7.0,8.0,-1.0,0.5083397471863946
1516,Liverpool,Bournemouth,32,6.0,7.0,-1.0,0.4525983554081401
1516,Liverpool,Everton,33,3.0,4.0,-1.0,1.5504527787279065
1516,Liverpool,Newcastle,34,2.0,3.0,-1.0,-1.0298499724892345
1516,Liverpool,Swansea,35,7.0,6.0,1.0,-0.6603562236378633
1516,Liverpool,Watford,36,7.0,8.0,-1.0,0.844736756508701
1516,Liverpool,Chelsea,37,3.0,4.0,-1.0,0.4354385408392014
1516,Liverpool,West Brom,38,3.0,8.0,-5.0,-0.8859431363662069
1516,Man City,Chelsea,2,5.0,7.0,-2.0,0.5888862304409268
1516,Man City,Everton,3,7.0,8.0,-1.0,0.006318948893823784
1516,Man City,Watford,4,5.0,5.0,0.0,-0.2278280062806426
1516,Man City,Crystal Palace,5,14.0,14.0,0.0,1.5243351786999366
1516,Man City,West Ham,6,7.0,4.0,3.0,1.0878965489977255
1516,Man City,Tottenham,7,6.0,5.0,1.0,0.4634355427151382
1516,Man City,Newcastle,8,7.0,6.0,1.0,1.3522858987247086
1516,Man City,Bournemouth,9,14.0,14.0,0.0,2.815510913865041
1516,Man City,Man United,10,8.0,8.0,0.0,-0.8850038599429788
1516,Man City,Norwich,11,6.0,7.0,-1.0,-0.657629248072636
1516,Man City,Aston Villa,12,7.0,5.0,2.0,-0.19817016220983952
1516,Man City,Liverpool,13,13.0,13.0,0.0,-0.2782806395002164
1516,Man City,Southampton,14,6.0,7.0,-1.0,0.45156130751157164
1516,Man City,Stoke,15,6.0,6.0,0.0,-1.101120193007185
1516,Man City,Swansea,16,7.0,7.0,0.0,-0.6579317634401571
1516,Man City,Arsenal,17,9.0,8.0,1.0,-0.26839723752888
1516,Man City,Sunderland,18,4.0,7.0,-3.0,0.731074444832283
1516,Man City,Leicester,19,3.0,3.0,0.0,0.3515841330360432
1516,Man City,Watford,20,3.0,5.0,-2.0,-0.7423208235450598
1516,Man City,Everton,21,11.0,10.0,1.0,-0.4776177628128411
1516,Man City,Crystal Palace,22,2.0,3.0,-1.0,-0.17589496286756323
1516,Man City,West Ham,23,7.0,7.0,0.0,-0.5780160317782198
1516,Man City,Sunderland,24,10.0,10.0,0.0,-1.0159206330315156
1516,Man City,Leicester,25,3.0,3.0,0.0,0.09516617937480332
1516,Man City,Tottenham,26,8.0,8.0,0.0,0.6131614550801474
1516,Man City,Liverpool,27,17.0,17.0,0.0,-0.9336883909789473
1516,Man City,Aston Villa,28,2.0,3.0,-1.0,-0.04851106919168968
1516,Man City,Norwich,29,6.0,6.0,0.0,-1.0517949632143204
1516,Man City,Man United,30,8.0,14.0,-6.0,0.3980067765806654
