season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,432830,CB,12.0,1.0,90,1.7197222222222224,1.5833962264150943,2.0,True
2025-2026,472769,FB,14.0,1.0,90,1.7102097902097901,1.8621383647798742,0.0,True
2025-2026,578153,FB,17.0,1.0,90,1.7102097902097901,1.8621383647798742,0.0,True
2025-2026,596777,FB,9.0,0.0,90,1.8812337662337661,1.7063125,3.0,False
2025-2026,230001,CB,10.0,1.0,61,1.8812337662337661,1.7063125,3.0,False
2025-2026,171314,CB,8.0,0.0,90,1.7102097902097901,1.8621383647798742,0.0,True
2025-2026,477424,CB,3.0,0.0,90,1.7102097902097901,1.8621383647798742,0.0,True
2025-2026,209365,CB,13.0,1.0,90,1.8812337662337661,1.7063125,3.0,False
2025-2026,106760,FB,7.0,0.0,90,1.8812337662337661,1.7063125,3.0,False
2025-2026,550864,CB,8.0,0.0,61,1.8812337662337661,1.7063125,3.0,False
2025-2026,167074,FB,8.0,0.0,90,1.378445945945946,1.270763358778626,0.0,True
2025-2026,232892,CB,14.0,1.0,90,1.378445945945946,1.270763358778626,0.0,True
2025-2026,214225,CB,11.0,1.0,90,1.2529139072847681,1.4740853658536586,1.0,False
2025-2026,243526,FB,8.0,0.0,90,1.2529139072847681,1.4740853658536586,1.0,False
2025-2026,226182,FB,14.0,1.0,90,1.2529139072847681,1.4740853658536586,1.0,False
2025-2026,222694,CB,9.0,0.0,90,1.2529139072847681,1.4740853658536586,1.0,False
2025-2026,174874,CB,19.0,1.0,90,1.378445945945946,1.270763358778626,0.0,True
2025-2026,77794,FB,10.0,1.0,90,0.975608108108108,1.461830985915493,0.0,True
2025-2026,119471,CB,13.0,1.0,90,0.975608108108108,1.461830985915493,0.0,True
2025-2026,78916,CB,9.0,0.0,90,0.975608108108108,1.461830985915493,0.0,True
2025-2026,490721,FB,15.0,1.0,90,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,483081,FB,11.0,1.0,76,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,441191,FB,8.0,0.0,90,0.975608108108108,1.461830985915493,0.0,True
2025-2026,510362,CB,12.0,1.0,90,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,516939,CB,17.0,1.0,90,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,501837,CB,8.0,0.0,65,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,431248,CB,7.0,0.0,90,1.5206081081081082,0.9484567901234568,1.0,False
2025-2026,463981,CB,4.0,0.0,86,1.4670422535211267,1.598169014084507,1.0,True
2025-2026,111478,CB,17.0,1.0,90,1.6012587412587411,1.5276335877862597,2.0,False
2025-2026,494521,FB,7.0,0.0,90,1.4670422535211267,1.598169014084507,1.0,True
2025-2026,469142,CB,12.0,1.0,90,1.6012587412587411,1.5276335877862597,2.0,False
2025-2026,221466,CB,18.0,1.0,90,1.4670422535211267,1.598169014084507,1.0,True
2025-2026,83299,CB,13.0,1.0,90,1.6012587412587411,1.5276335877862597,2.0,False
2025-2026,231416,FB,14.0,1.0,66,1.6012587412587411,1.5276335877862597,2.0,False
2025-2026,200834,CB,14.0,1.0,90,1.5676973684210527,1.0265625,0.0,False
2025-2026,209036,CB,12.0,1.0,90,1.5676973684210527,1.8621383647798742,0.0,False
2025-2026,434399,CB,10.0,1.0,90,1.5676973684210527,1.0265625,0.0,False
2025-2026,201895,CB,15.0,1.0,90,1.5676973684210527,1.0265625,0.0,False
2025-2026,437499,CB,9.0,0.0,90,1.0117021276595746,1.561027397260274,0.0,True
2025-2026,247348,FB,6.0,0.0,90,1.0117021276595746,1.561027397260274,0.0,True
2025-2026,427623,CB,7.0,0.0,90,1.0117021276595746,1.561027397260274,0.0,True
2025-2026,244723,FB,13.0,1.0,90,1.0117021276595746,1.561027397260274,0.0,True
2025-2026,487676,FB,9.0,0.0,90,1.5676973684210527,1.0265625,0.0,False
2025-2026,227444,CB,8.0,0.0,90,1.6668918918918918,1.1928571428571428,3.0,False
2025-2026,466075,CB,4.0,0.0,67,1.1952777777777779,1.7187234042553192,0.0,True
2025-2026,485047,CB,9.0,0.0,90,1.6668918918918918,1.1928571428571428,3.0,False
2025-2026,500040,CB,14.0,1.0,90,1.1952777777777779,1.7187234042553192,0.0,True
2025-2026,445122,FB,8.0,0.0,90,1.1952777777777779,1.7187234042553192,0.0,True
2025-2026,226597,CB,13.0,1.0,90,1.1952777777777779,1.7187234042553192,0.0,True
2025-2026,215136,FB,7.0,0.0,90,1.6668918918918918,1.1928571428571428,3.0,False
2025-2026,613804,FB,12.0,1.0,90,1.0653061224489795,1.2106569343065694,3.0,True
2025-2026,232859,FB,3.0,0.0,70,1.238896551724138,1.078201438848921,0.0,False
2025-2026,233963,CB,14.0,1.0,90,1.0653061224489795,1.2106569343065694,3.0,True
2025-2026,214048,CB,14.0,1.0,90,1.0653061224489795,1.2106569343065694,3.0,True
2025-2026,221632,CB,7.0,0.0,90,1.238896551724138,1.078201438848921,0.0,False
2025-2026,491279,CB,7.0,0.0,79,1.238896551724138,1.078201438848921,0.0,False
2025-2026,441164,FB,10.0,1.0,90,1.238896551724138,1.078201438848921,0.0,False
2025-2026,158534,FB,11.0,1.0,90,1.0653061224489795,1.2106569343065694,3.0,True
2025-2026,149484,CB,14.0,1.0,90,1.0117021276595746,1.2532258064516129,1.0,False
