player_code,understat_player_id,name_fpl,name_understat,team,match_method,confidence,verified
465247,14056,Lammens,Senne Lammens,Man United,exact_name_team,1.0,True
167512,14099,O'Nien,Luke O'Nien,Sunderland,exact_name_team,1.0,True
647850,14118,Kostoulas,Charalampos Kostoulas,Brighton,exact_name_team,1.0,True
556637,14127,Oriola,Nehemiah Oriola,Brighton,exact_name_team,1.0,True
640419,14134,Byfield,Jun'ai Byfield,Tottenham,exact_name_team,1.0,True
499716,14176,Rowswell,James Rowswell,Tottenham,exact_name_team,1.0,True
577285,14193,George Hemmings,George Hemmings,Aston Villa,exact_name_team,1.0,True
576628,14198,Lacey,Shea Lacey,Man United,exact_name_team,1.0,True
672492,14263,Drakes-Thomas,Joél Drakes-Thomas,Crystal Palace,exact_name_team,1.0,True
576620,14266,Bendito Mantato,Bendito Mantato,Man United,exact_name_team,1.0,True
519913,14272,Fletcher,Tyler Fletcher,Man United,exact_name_team,1.0,True
593174,14356,Furo,Kaye Furo,Brentford,exact_name_team,1.0,True
614574,14374,Tóth.A,Alex Tóth,Bournemouth,exact_name_team,1.0,True
499604,14395,Rayan,Rayan,Bournemouth,exact_name_team,1.0,True
616221,14410,Souza,Souza,Tottenham,exact_name_team,1.0,True
536661,14424,Angulo,Nilson Angulo,Sunderland,exact_name_team,1.0,True
515046,14425,Ellborg,Melker Ellborg,Sunderland,exact_name_team,1.0,True
699989,14460,Jocelin.T,Djiamgone Jocelin Ta Bi,Sunderland,exact_name_team,1.0,True
75115,468,Wilson,Callum Wilson,West Ham,exact_name_transfer,0.97,True
50175,501,Welbeck,Danny Welbeck,Brighton,exact_name_transfer,0.97,True
56979,605,Henderson,Jordan Henderson,Brentford,exact_name_transfer,0.97,True
114283,675,Grealish,Jack Grealish,Everton,exact_name_transfer,0.97,True
59735,780,Darlow,Karl Darlow,Leeds,exact_name_transfer,0.97,True
212314,1537,Lukić,Sasa Lukic,Fulham,exact_name_transfer,0.97,True
122798,1688,Robertson,Andrew Robertson,Liverpool,exact_name_transfer,0.97,True
219924,3203,Diop,Issa Diop,Fulham,exact_name_transfer,0.97,True
153682,5596,Wilson,Harry Wilson,Fulham,exact_name_transfer,0.97,True
166989,5956,Tielemans,Youri Tielemans,Aston Villa,exact_name_transfer,0.97,True
200641,6492,Nelson,Reiss Nelson,Brentford,exact_name_transfer,0.97,True
67089,6532,Dubravka,Martin Dubravka,Burnley,exact_name_transfer,0.97,True
433154,6756,McNeil,Dwight McNeil,Everton,exact_name_transfer,0.97,True
220362,6885,Disasi,Axel Disasi,West Ham,exact_name_transfer,0.97,True
128295,7083,Nørgaard,Christian Nørgaard,Arsenal,exact_name_transfer,0.97,True
444884,7546,Elliott,Harvey Elliott,Aston Villa,exact_name_transfer,0.97,True
209036,7603,Guéhi,Marc Guehi,Crystal Palace,exact_name_transfer,0.97,True
